time,open,high,low,close,tick_volume,spread,real_volume,ep_high,ep_low
2022.02.03 22:08:00,1.35938,1.35951,1.35930,1.35938,48,8,0.00000,0.00000,0.00000
2022.02.03 22:07:00,1.35918,1.35939,1.35918,1.35938,36,8,0.00000,1.35938,0.00000
2022.02.03 22:06:00,1.35899,1.35918,1.35897,1.35918,33,8,0.00000,0.00000,0.00000
2022.02.03 22:05:00,1.35897,1.35905,1.35897,1.35900,42,8,0.00000,0.00000,0.00000
2022.02.03 22:04:00,1.35888,1.35899,1.35886,1.35897,51,8,0.00000,0.00000,0.00000
2022.02.03 22:03:00,1.35886,1.35889,1.35882,1.35888,49,8,0.00000,0.00000,1.35886
2022.02.03 22:02:00,1.35905,1.35913,1.35888,1.35888,62,8,0.00000,0.00000,0.00000
2022.02.03 22:01:00,1.35886,1.35910,1.35886,1.35906,57,8,0.00000,1.35906,0.00000
2022.02.03 22:00:00,1.35883,1.35887,1.35876,1.35886,91,8,0.00000,0.00000,0.00000
2022.02.03 21:59:00,1.35865,1.35884,1.35860,1.35884,103,8,0.00000,0.00000,0.00000
2022.02.03 21:58:00,1.35866,1.35868,1.35861,1.35865,26,8,0.00000,0.00000,0.00000
2022.02.03 21:57:00,1.35855,1.35866,1.35855,1.35866,50,8,0.00000,0.00000,0.00000
2022.02.03 21:56:00,1.35856,1.35856,1.35850,1.35855,58,8,0.00000,0.00000,1.35855
2022.02.03 21:55:00,1.35877,1.35880,1.35857,1.35857,73,8,0.00000,1.35877,0.00000
2022.02.03 21:54:00,1.35877,1.35889,1.35870,1.35877,36,9,0.00000,0.00000,0.00000
2022.02.03 21:53:00,1.35875,1.35881,1.35871,1.35876,53,8,0.00000,0.00000,0.00000
2022.02.03 21:52:00,1.35874,1.35879,1.35864,1.35875,62,8,0.00000,0.00000,0.00000
2022.02.03 21:51:00,1.35866,1.35874,1.35861,1.35874,45,8,0.00000,0.00000,0.00000
2022.02.03 21:50:00,1.35894,1.35897,1.35865,1.35866,64,8,0.00000,0.00000,1.35866
2022.02.03 21:49:00,1.35895,1.35900,1.35888,1.35894,59,8,0.00000,0.00000,0.00000
2022.02.03 21:48:00,1.35896,1.35908,1.35893,1.35895,42,9,0.00000,0.00000,0.00000
2022.02.03 21:47:00,1.35898,1.35914,1.35894,1.35895,73,8,0.00000,0.00000,0.00000
2022.02.03 21:46:00,1.35896,1.35913,1.35896,1.35898,60,8,0.00000,0.00000,0.00000
2022.02.03 21:45:00,1.35909,1.35918,1.35887,1.35896,68,8,0.00000,0.00000,0.00000
2022.02.03 21:44:00,1.35924,1.35925,1.35909,1.35909,77,8,0.00000,0.00000,0.00000
